Name,Followers,Country,Average Views,Average Likes,Average Comments
freekickerz,8.6M,Allemagne,23.2K,854,27
Visca96Barca,1.9M,Allemagne,317.3K,17.3K,447
SkySportDE,1.6M,Allemagne,59.7K,1.1K,215
BVB,1.3M,Allemagne,47K,1.7K,64
SPORTBILD,821.6K,Allemagne,11K,82,11
sportschau,792.1K,Allemagne,53.6K,841,24
Kick11De,712.5K,Allemagne,121.9K,3K,256
jannik.freestyle,660.5K,Allemagne,43.9K,2.1K,22
esmuellert,628.5K,Allemagne,21.4K,2K,36
AlexFreerun,562.1K,Allemagne,56.6K,1.8K,9
marvinvlogt,518.1K,Allemagne,62.7K,1.4K,53
DerHansus,499.5K,Allemagne,112.8K,5.7K,189
bayerleverkusen,436.1K,Allemagne,15.5K,722,17
sportstudio,396K,Allemagne,8.8K,210,6
DAZNLaenderspiele,366.5K,Allemagne,22.6K,593,15
LukasFootball,342.5K,Allemagne,28.5K,953,9
BenBeholzShorts,303.5K,Allemagne,6.2K,68,0
broski,286.5K,Allemagne,251K,20.8K,515
ManuThiele,271.5K,Allemagne,102K,3.9K,452
HomeofHandball,244.1K,Allemagne,27K,1.9K,9
CALCIOBERLIN,233.1K,Allemagne,138.6K,7.2K,467
DennisGamingTV,218.5K,Allemagne,32K,2K,39
RTLSport,210.5K,Allemagne,7.1K,136,2
NiklasNeo,197.5K,Allemagne,149.7K,12.3K,114
RBLeipzig,187.1K,Allemagne,7.2K,407,17
SPOX,160.5K,Allemagne,4.9K,50,1
vitbikes,157.1K,Allemagne,12.7K,376,25
KilianJonas,149.5K,Allemagne,22.3K,326,32
EintrachtSpandau,147.6K,Allemagne,5K,264,4
MaxFentsy,138.5K,Allemagne,4.6K,173,11
Luzienho,137.5K,Allemagne,8.6K,291,2
FOKUS_Eldos,134.5K,Allemagne,85.9K,6.8K,113
HSV,133.6K,Allemagne,18K,729,40
transfermarkt,128.5K,Allemagne,7.4K,194,18
kicker,115.5K,Allemagne,9.3K,189,8
matzeknop,115.5K,Allemagne,14.1K,395,18
gurkbrothers409,107.1K,Allemagne,4.3K,101,5
Miss.Peaches,106.5K,Allemagne,5.8K,224,5
YACHTtv,91.6K,Allemagne,20.9K,203,8
einfachfussball,81.6K,Allemagne,22.2K,797,12
ENJOYYOURBIKE,76.8K,Allemagne,8.2K,165,39
der_fussballtalk,76K,Allemagne,75.7K,3.6K,388
vfb,74.2K,Allemagne,12.3K,807,40
florianragglgolf,71.8K,Allemagne,3.7K,129,1
Leches,70.4K,Allemagne,11.8K,785,35
LooseRidersTV,65.5K,Allemagne,2.2K,176,1
LiHa2004,64.2K,Allemagne,4.8K,230,26
MrMikeNo1,57.7K,Allemagne,1.1K,58,8
1x1SPORT,56.6K,Allemagne,668,12,0
mr_eit,56.6K,Allemagne,21.7K,531,59
fcrbs,141.4K,Autriche,5.5K,155,8
skrapidtv,22.7K,Autriche,6.3K,163,21
Sportunterricht2022,15K,Allemagne,255,4,2
laskofficial1908,7.2K,Autriche,1.7K,53,4
puls4austria,5.9K,Autriche,14.8K,179,3
violettTV,3.4K,Autriche,2.4K,75,4
blueSport,62.2K,Suisse,4.3K,70,1
RTSsport,32K,Suisse,1.1K,18,1
FCZTV,17.9K,Suisse,1.8K,77,4
FCBasel1893Videos,13.1K,Suisse,1.1K,100,6
grasshopperclubzurich,4.8K,Suisse,2.2K,54,9
freekickerz,8.6M,Allemagne,23.2K,854,27
Visca96Barca,1.9M,Allemagne,317.3K,17.3K,447
SkySportDE,1.6M,Allemagne,59.7K,1.1K,215
BVB,1.3M,Allemagne,47K,1.7K,64
SPORTBILD,821.6K,Allemagne,11K,82,11
sportschau,792.1K,Allemagne,53.6K,841,24
Kick11De,712.5K,Allemagne,121.9K,3K,256
jannik.freestyle,660.5K,Allemagne,43.9K,2.1K,22
esmuellert,628.5K,Allemagne,21.4K,2K,36
AlexFreerun,562.1K,Allemagne,56.6K,1.8K,9
marvinvlogt,518.1K,Allemagne,62.7K,1.4K,53
DerHansus,499.5K,Allemagne,112.8K,5.7K,189
bayerleverkusen,436.1K,Allemagne,15.5K,722,17
sportstudio,396K,Allemagne,8.8K,210,6
DAZNLaenderspiele,366.5K,Allemagne,22.6K,593,15
LukasFootball,342.5K,Allemagne,28.5K,953,9
BenBeholzShorts,303.5K,Allemagne,6.2K,68,0
broski,286.5K,Allemagne,251K,20.8K,515
ManuThiele,271.5K,Allemagne,102K,3.9K,452
HomeofHandball,244.1K,Allemagne,27K,1.9K,9
CALCIOBERLIN,233.1K,Allemagne,138.6K,7.2K,467
DennisGamingTV,218.5K,Allemagne,32K,2K,39
RTLSport,210.5K,Allemagne,7.1K,136,2
NiklasNeo,197.5K,Allemagne,149.7K,12.3K,114
RBLeipzig,187.1K,Allemagne,7.2K,407,17
SPOX,160.5K,Allemagne,4.9K,50,1
vitbikes,157.1K,Allemagne,12.7K,376,25
KilianJonas,149.5K,Allemagne,22.3K,326,32
EintrachtSpandau,147.6K,Allemagne,5K,264,4
MaxFentsy,138.5K,Allemagne,4.6K,173,11
Luzienho,137.5K,Allemagne,8.6K,291,2
FOKUS_Eldos,134.5K,Allemagne,85.9K,6.8K,113
HSV,133.6K,Allemagne,18K,729,40
transfermarkt,128.5K,Allemagne,7.4K,194,18
kicker,115.5K,Allemagne,9.3K,189,8
matzeknop,115.5K,Allemagne,14.1K,395,18
gurkbrothers409,107.1K,Allemagne,4.3K,101,5
Miss.Peaches,106.5K,Allemagne,5.8K,224,5
YACHTtv,91.6K,Allemagne,20.9K,203,8
einfachfussball,81.6K,Allemagne,22.2K,797,12
ENJOYYOURBIKE,76.8K,Allemagne,8.2K,165,39
der_fussballtalk,76K,Allemagne,75.7K,3.6K,388
vfb,74.2K,Allemagne,12.3K,807,40
florianragglgolf,71.8K,Allemagne,3.7K,129,1
Leches,70.4K,Allemagne,11.8K,785,35
LooseRidersTV,65.5K,Allemagne,2.2K,176,1
LiHa2004,64.2K,Allemagne,4.8K,230,26
MrMikeNo1,57.7K,Allemagne,1.1K,58,8
1x1SPORT,56.6K,Allemagne,668,12,0
mr_eit,56.6K,Allemagne,21.7K,531,59
fcrbs,141.4K,Autriche,5.5K,155,8
skrapidtv,22.7K,Autriche,6.3K,163,21
Sportunterricht2022,15K,Allemagne,255,4,2
laskofficial1908,7.2K,Autriche,1.7K,53,4
puls4austria,5.9K,Autriche,14.8K,179,3
violettTV,3.4K,Autriche,2.4K,75,4
blueSport,62.2K,Suisse,4.3K,70,1
RTSsport,32K,Suisse,1.1K,18,1
FCZTV,17.9K,Suisse,1.8K,77,4
FCBasel1893Videos,13.1K,Suisse,1.1K,100,6
grasshopperclubzurich,4.8K,Suisse,2.2K,54,9
